fetch date,short codes,number of likes,number of video views,number of comments
03/11/21,CHalPKJBnTj,4305,41347.0,76
03/11/21,CHYfQXmAVxb,10884,,123
03/11/21,CG-vTRzBmK4,3534,,126
03/11/21,CHAxy4OHyIj,1550,12648.0,41
03/11/21,CHD4_nTgzmT,2998,,43
03/11/21,CG_ORO0g6bJ,3817,37975.0,70
03/11/21,CHBGXEIgR7m,4850,,68
03/11/21,CG-9WHpBv3M,1542,13999.0,65
03/11/21,CG-ofLBsb2Q,2067,16173.0,34
03/11/21,CHB4On9AoTk,4788,,51
03/11/21,CG-NHMtgfYj,6254,,77
03/11/21,CHBi4_6B6Ni,4366,,37
03/11/21,CG_RoymgZ_y,2937,,113
03/11/21,CHAudCrM73_,2965,25724.0,109
03/11/21,CG3S6_PhDBy,2326,19349.0,36
03/11/21,CG8SBglhDSU,1796,12608.0,64
03/11/21,CG5e6PZBo3n,2342,,46
03/11/21,CG5WD1NAjQj,1131,8167.0,19
03/11/21,CG2gNUogres,3451,26683.0,91
03/11/21,CG8feZ9gMhh,1975,,43
03/11/21,CG0YISAByX0,14454,,332
03/11/21,CG0fqXxhwuQ,2890,,31
03/11/21,CG3A72qB6k6,1057,7974.0,21
03/11/21,CGyZrPpgcvr,1663,15949.0,39
03/11/21,CG5YEWzAUIc,1776,13368.0,23
03/11/21,CG2zPMpgt7O,2058,,30
03/11/21,CGlc2N3gWvx,1931,,69
03/11/21,CGqTR7Kg0Ur,2989,,37
03/11/21,CGlCyjvh9wH,4796,,35
03/11/21,CGpyrf0AqyI,1440,11916.0,97
03/11/21,CGxwjN5gFrE,2149,21486.0,33
03/11/21,CGvLzQ_gDk2,3677,,48
03/11/21,CGp4MVwgEsu,4224,36635.0,179
03/11/21,CGs7fgMhV8C,1620,13172.0,61
03/11/21,CGvBdY8A4S4,1463,13288.0,38
03/11/21,CGsm-YhhrUl,3109,,139
03/11/21,CGngyOvB9wh,10337,,135
03/11/21,CGqZQ5yh9f1,1403,10934.0,200
03/11/21,CGa5Nzehcjd,1279,10344.0,19
03/11/21,CGYhOjqnL12,7727,,131
03/11/21,CGalUC9hdIN,1559,,19
03/11/21,CGX6OKUJuAJ,1566,12857.0,56
03/11/21,CGf8szYh5Sm,3952,,76
03/11/21,CGfg6t8B35J,3198,,125
03/11/21,CGkqxhJgmg-,9420,198796.0,254
03/11/21,CGc1ktpAUwj,5207,,54
03/11/21,CGXy1frnnTZ,2628,21354.0,53
03/11/21,CGi3koygYvI,7101,,78
03/11/21,CGiGBz3ACsP,4487,29277.0,78
03/11/21,CGianVHhgL5,1924,16231.0,26
03/11/21,CGLsKl_Hjr7,11363,,484
03/11/21,CGQD99vnjND,4893,,346
03/11/21,CGVtJj-pgy5,4452,28531.0,140
03/11/21,CGF5R_wJNkL,1766,16286.0,50
03/11/21,CGSzb2eJ1pf,4374,,73
03/11/21,CGFqcdjn7jM,6004,58688.0,298
03/11/21,CGVYnKNgclz,2608,,57
03/11/21,CGXlH34ns7l,3782,,43
03/11/21,CGK0A5jpoec,6066,37169.0,235
03/11/21,CGTEp7LJ_vf,2182,,133
03/11/21,CGQchP2HhOJ,2682,27739.0,166
03/11/21,CGSixy6HaE_,1283,9634.0,45
03/11/21,CGDFjkTHTDK,1516,14585.0,51
03/11/21,CGEX-ilnRfz,3863,23702.0,118
03/11/21,CF0oUq1njHr,5955,,117
03/11/21,CF1_1_gFP69,16831,270469.0,797
03/11/21,CF3Gy3AHyWd,1302,15852.0,43
03/11/21,CF2Oc_YAo5O,4364,,62
03/11/21,CF7XOjYnqZ4,2638,,118
03/11/21,CGA1vOWArGz,5382,,91
03/11/21,CF-XXEEpLbL,2495,24645.0,1484
03/11/21,CGBDqkBpvsT,8865,,196
03/11/21,CF4yeQagKmB,2068,15217.0,59
03/11/21,CF16zu8gZlu,16751,,391
03/11/21,CF0GdP7JLqJ,1721,11154.0,29
03/11/21,CFvXLrDHNxw,2992,17175.0,59
03/11/21,CFp-0esDFeL,1473,14654.0,30
03/11/21,CF0Y88tDl7e,1582,7411.0,21
03/11/21,CFseiSlgZxa,2344,,37
03/11/21,CFxMCAjnCbW,2357,,34
03/11/21,CF0ULUwDkiA,3702,,62
03/11/21,CFm3rg1gyn3,2573,,41
03/11/21,CFsKCbcJSmu,3793,,33
03/11/21,CFuRkJZHxuD,3201,,93
03/11/21,CF0jNNvgJFl,3247,23379.0,91
03/11/21,CF0d3bxh48K,1745,12629.0,36
03/11/21,CFhyIFiH61S,7722,48303.0,575
03/11/21,CFfLhYAHw0a,12764,,403
03/11/21,CFc9FXrpq_2,1215,8915.0,16
03/11/21,CFkMBCBnyad,2848,27240.0,78
03/11/21,CFe_Ec6oV8J,3272,19699.0,66
03/11/21,CFhYZYGDJIb,1593,11161.0,35
03/11/21,CFkgidPp0JV,3597,,62
03/11/21,CFhrBvLndwb,1394,9651.0,64
03/11/21,CFdKr6hAV88,4489,,90
03/11/21,CFiXS8lJer5,1643,11974.0,56
03/11/21,CFh_4iDpHd8,1421,11897.0,24
03/11/21,CFkwGYAgdrK,3409,,65
03/11/21,CFSKjZXHqAE,2825,25236.0,36
03/11/21,CFcxstdJPd0,1468,,15
03/11/21,CFaACP3FtoJ,5867,,55
03/11/21,CFVHX3snUr8,6420,28911.0,315
03/11/21,CFQQoY8JGFK,1017,6908.0,12
03/11/21,CFQf0TBHBQO,2062,,15
03/11/21,CFS6kBVJjqJ,2876,,27
03/11/21,CFcn8Llnd7e,2014,11927.0,42
03/11/21,CFSEhwKHWY1,17107,,833
03/11/21,CFc5UuQAZqV,2044,61433.0,35
03/11/21,CFaUV1SpAq6,3407,,228
03/11/21,CFYP2xunSG8,1733,12067.0,29
03/11/21,CFId5Aup8PK,2815,,25
03/11/21,CE4vRn2pQ78,4050,,67
03/11/21,CE1451Mg0zQ,3837,,51
03/11/21,CFKHhJWHG2v,5947,,153
03/11/21,CFC7aM8H0tA,1704,18402.0,55
03/11/21,CE4hL9anRcJ,5993,,129
03/11/21,CEzQqgYHvXk,6443,,63
03/11/21,CFPu-ahn3hb,5588,,140
03/11/21,CFFZVx4nAHc,2304,18381.0,71
03/11/21,CE7lg4Mp5TM,3052,,77
03/11/21,CE-Y-3AHAkJ,23525,122631.0,189
03/11/21,CFKcFX_nk4Y,4536,,62
03/11/21,CEnU14gnNlY,8637,,128
03/11/21,CEp3u6lH4tR,7376,,36
03/11/21,CErbs_dnFMz,2680,17922.0,117
03/11/21,CEuHYkxnIrB,1414,7329.0,45
03/11/21,CEub9V4Hah0,1572,13438.0,26
03/11/21,CEuu-Snpl_u,3041,,77
03/11/21,CEr-eXvprwU,3205,,34
03/11/21,CEpErFAnDTM,1179,11672.0,9
03/11/21,CEsLv_zpxi2,4019,34009.0,67
03/11/21,CEukiLigM0a,5309,,96
03/11/21,CEpnCFlJmvb,1995,16247.0,42
03/11/21,CEo24ZAHr0o,3020,,29
03/11/21,CEcfld4AyRp,16869,,101
03/11/21,CEh4mlLn8Dl,10571,24669.0,104
03/11/21,CEcW-ErniOC,4308,,60
03/11/21,CEmvGMBH556,1434,9331.0,32
03/11/21,CEm--EZpJ-D,981,5496.0,18
03/11/21,CEmoOCkHCJo,4102,,325
03/11/21,CEkWPevA-kC,19928,,195
03/11/21,CEb4EipFpOK,9950,15881.0,70
03/11/21,CEnL40QnXBF,1565,9373.0,35
03/11/21,CEkMVXVJojJ,15485,37445.0,214
03/11/21,CEcydNSpFKP,5645,43335.0,222
03/11/21,CEclf7pJS5Z,4015,,139
03/11/21,CEM7JpwnTef,18231,43684.0,87
03/11/21,CEK79-xnMKc,5652,42200.0,134
03/11/21,CEaBJzKJGT8,20795,37780.0,98
03/11/21,CEXY7pCJwk0,22957,35956.0,46
03/11/21,CEKSap3HnCt,1424,9446.0,19
03/11/21,CEUsDf2HgZM,5450,,246
03/11/21,CEaHR7oJO5M,24806,131253.0,636
03/11/21,CEZn7ZPHXTp,3477,,57
03/11/21,CEXnI37gGP0,25343,,182
03/11/21,CERvPcpn6VJ,45457,83982.0,210
03/11/21,CEKxAspJCUN,1127,7761.0,21
03/11/21,CEKhDuKJxlN,7576,,66
03/11/21,CD9MSroHhNX,12639,,203
03/11/21,CD4f9EHJeA7,9107,53747.0,247
03/11/21,CEIJcxwp46n,37482,95481.0,559
03/11/21,CEKEMMEn_Gh,41822,97173.0,733
03/11/21,CEF0tvWn1OW,1891,35111.0,38
03/11/21,CEIFb1_gnYX,35884,,137
03/11/21,CD-LqSBnkow,5609,,128
03/11/21,CEHkNb9HYwo,24759,36469.0,79
03/11/21,CEE7ehYH29P,2514,25801.0,70
03/11/21,CD9hK7Cpzjx,1318,,12
03/11/21,CD4r95-pAbR,10218,,179
03/11/21,CD6nfuMgQJP,5474,,52
03/11/21,CDzVU17AS8v,26105,,95
03/11/21,CDzNs5in3QB,1240,9512.0,32
03/11/21,CDwlcUnnu34,7220,,230
03/11/21,CD1sdEdn6Fu,1364,29254.0,27
03/11/21,CDxg1-CnBPf,2275,,36
03/11/21,CDwUoPEg5TK,4546,,52
03/11/21,CD18PkvpvC6,46153,164305.0,1036
03/11/21,CDuZBv8ppAs,4267,,232
03/11/21,CD4Coy1gFT9,6520,,77
03/11/21,CD2HIMNpQvS,2233,,42
03/11/21,CDwek9en3br,2950,,36
03/11/21,CD4Jfn7H63B,1866,18062.0,34
03/11/21,CDg3itcnU67,2974,,33
03/11/21,CDhMi0bJxpN,9574,,257
03/11/21,CDrK_9xA2Xv,5140,,75
03/11/21,CDjfwvWHvic,3081,,45
03/11/21,CDhOUM0JKfQ,10701,58365.0,390
03/11/21,CDuBQmLHVb4,2937,,132
03/11/21,CDgxvzZnZRL,5310,,155
03/11/21,CDhCDCIHzGc,7768,47307.0,247
03/11/21,CDuK_AVnmiu,1741,,24
03/11/21,CDoz45yAVvP,2973,,29
03/11/21,CDkJ114nj3y,3442,28087.0,63
03/11/21,CDmO1mkncqM,7573,,83
03/11/21,CDPH485JDL7,2069,,74
03/11/21,CDWPuR2nD_m,9525,,336
03/11/21,CDP1-FzAnzF,2557,,44
03/11/21,CDRrBfOJZBw,1715,9220.0,45
03/11/21,CDd-KO7n58c,13011,,337
03/11/21,CDMwbZEpVLn,1760,10488.0,40
03/11/21,CDUGagNnAsC,4897,,90
03/11/21,CDTq6y0HZxf,5415,,217
03/11/21,CDbt7E8nm7Z,3051,,91
03/11/21,CDMRJDNnfbu,6940,,282
03/11/21,CDO4bA0HIJN,4224,31648.0,52
03/11/21,CDR2sgYgiLE,4642,,363
03/11/21,CC63f9HpH9d,1979,15709.0,65
03/11/21,CDHOY-tni_8,9437,,274
03/11/21,CDCREtDAha2,1721,,20
03/11/21,CDHXLA-J75m,4124,,61
03/11/21,CDJsWsJHuCY,4004,,99
03/11/21,CC_y6E3JYKP,1702,16650.0,36
03/11/21,CDCgkhipdXQ,7275,,205
03/11/21,CC1M2Ennf1b,7222,,251
03/11/21,CC9VCmEBJxH,3754,,199
03/11/21,CC4Pwq7Jd1_,3846,,65
03/11/21,CC_gIAmnFq9,3156,,32
03/11/21,CDKA93KHIz_,10076,,255
03/11/21,CCyhLwQH06H,4138,,116
03/11/21,CClpNbvnDFf,1162,7989.0,99
03/11/21,CCbW60gHFtv,4883,,133
03/11/21,CCtlUtnnG61,2282,,61
03/11/21,CCrHcKVnaSF,3036,,55
03/11/21,CCyoDMFnK2C,2439,15468.0,76
03/11/21,CCozfBYpuDP,4820,,126
03/11/21,CCrVK-PHwB7,1102,8323.0,29
03/11/21,CCZQIbiJL4A,6972,46535.0,198
03/11/21,CCqy79RnOY2,1362,9259.0,45
03/11/21,CCgmddXHExQ,4291,,204
03/11/21,CCeIlcCHc1d,4947,,91
03/11/21,CCTufwDH1sX,1893,15882.0,70
03/11/21,CCMN2F3nUpz,23764,,1187
03/11/21,CCZF18bpRzZ,1433,13701.0,38
03/11/21,CCWVV3lHVzp,6995,,142
03/11/21,CCHAOG1plb8,4677,,199
03/11/21,CCRC3CfnTvs,3031,,46
03/11/21,CCE02eABYrC,3283,,132
03/11/21,CCY5xiEHN0L,4563,133304.0,161
03/11/21,CCHPfjcJC3o,2464,10583.0,103
03/11/21,CCMAKiSntqN,3297,,194
03/11/21,CCL5Rh3n4s1,2710,28649.0,63
03/11/21,CCGvplKHX2-,1644,15370.0,46
03/11/21,CB6o_oTg01b,5561,,152
03/11/21,CB2-S6xnyxO,5361,,134
03/11/21,CCCBlrwHV2V,6376,,70
03/11/21,CB14g-YnOwI,9598,557245.0,693
03/11/21,CByYzSrJLFR,4743,,67
03/11/21,CB3Z0y9nnNJ,3818,30138.0,378
03/11/21,CByfUv5gM5Y,1980,13501.0,82
03/11/21,CCByDePHjEC,2011,11846.0,46
03/11/21,CB01C-tHM0y,2400,27995.0,118
03/11/21,CB5jKtqnwKq,4331,,891
03/11/21,CBvy-g4H1hw,5662,,162
03/11/21,CCCYbDInNQC,1908,,381
03/11/21,CBgGbj6nlT9,7733,41601.0,204
03/11/21,CBRYMr3Jdjg,6011,50775.0,295
03/11/21,CAsn195nYKe,10848,104462.0,1258
03/11/21,CBdzRzrp23f,2237,23191.0,60
03/11/21,CBWUa3ApQr5,4660,,48
03/11/21,CA0j8V-H1Fk,7976,,186
03/11/21,CBRUvU2pI_c,1798,15843.0,60
03/11/21,CAqDQH9H0o_,7177,51965.0,658
03/11/21,CBlTiOsAvrP,52919,193318.0,2154
03/11/21,CA-VjFGgyKx,9834,,412
03/11/21,CBlooQnn8Iw,12131,,238
03/11/21,CA1dGlwgvOP,11414,,319
03/11/21,CAk5o-6H5Lv,4821,35165.0,187
03/11/21,CAiUy76nNqo,5174,30517.0,239
03/11/21,CAlHYSXpePT,12976,,367
03/11/21,CAa1GhRn1ML,27778,,229
03/11/21,CAa1H3fnb2h,53364,,2404
03/11/21,CAfxbDiHqBr,7622,41859.0,638
03/11/21,CAdMUyyHfrD,23532,82105.0,907
03/11/21,CAa1AArHh2B,25528,,170
03/11/21,CAneQT6HRPL,5134,32619.0,226
03/11/21,CAa0-adHDW7,30545,,463
03/11/21,CAdYz-fHYyC,4475,21115.0,142
03/11/21,CAdv7oYJ73d,4488,,252
03/11/21,CAVjs_fnyw0,4036,81532.0,492
03/11/21,CAYn2JMA1dj,6942,,365
03/11/21,CAOHAQSJW1h,12009,,709
03/11/21,CAJGvwPJUho,1886,19351.0,155
03/11/21,CAFrZsknsoY,3275,24118.0,126
03/11/21,CAa08VGng3Y,27926,,238
03/11/21,CAEE8IFnimT,12554,,788
03/11/21,CAI2ODVA9X0,5861,,176
03/11/21,CALrESJJaJN,4375,22840.0,372
03/11/21,CAa04XfnAia,34007,,528
03/11/21,CAa05_MnJ0S,29416,,316
03/11/21,CAa02LJH2zB,54125,,2252
03/11/21,B_0DQvRHz39,3228,28554.0,103
03/11/21,B_n2p4WpdW2,1486,11692.0,44
03/11/21,B_iLzRPHsWZ,7444,,182
03/11/21,CAA5y7bpCRh,1541,18342.0,52
03/11/21,B_3PU9IAN3f,35403,278039.0,512
03/11/21,B_xgqhkHF1Y,2372,17530.0,90
03/11/21,B_7mEEDnCvs,5037,37437.0,254
03/11/21,B_qnlnvHH0H,3711,34085.0,254
03/11/21,B_nV436njTd,2635,,108
03/11/21,B_fl9aVnSmr,3749,,108
03/11/21,B_prRcgHMrz,4004,23595.0,143
03/11/21,B_1SoMegZcm,13132,,316
